2014ncre_f1m1,frc836,frc1111,frc3971,frc900,frc4288,frc1287,83,92
2014ncre_qm26,frc375,frc900,frc3845,frc3811,frc435,frc1287,83,31
2014ncre_qm27,frc3737,frc4291,frc3701,frc3971,frc4561,frc4290,77,94
2014ncre_qm28,frc2528,frc3796,frc3459,frc4534,frc3229,frc122,10,21
2014ncre_qm29,frc1111,frc2890,frc3506,frc4996,frc2640,frc2642,59,46
2014ncre_qm3,frc4816,frc2641,frc3737,frc5160,frc3763,frc375,37,41
2014ncre_qm30,frc3493,frc3680,frc1533,frc4288,frc2483,frc449,110,66
2014ncre_qm31,frc3763,frc339,frc2641,frc3811,frc5160,frc4823,77,32
2014ncre_qm32,frc4816,frc1287,frc4561,frc4828,frc2059,frc4935,26,93
2014ncre_qm33,frc3845,frc4795,frc3331,frc1413,frc3737,frc4767,18,52
2014ncre_qm34,frc900,frc3402,frc4481,frc3215,frc4291,frc3661,98,5
2014ncre_qm35,frc3336,frc4290,frc4245,frc3971,frc587,frc435,37,47
2014ncre_qm36,frc836,frc375,frc5190,frc3701,frc4829,frc3822,155,17
2014ncre_qm37,frc2059,frc3229,frc2890,frc1533,frc4828,frc5160,48,72
2014ncre_qm38,frc3811,frc2483,frc3796,frc4823,frc4534,frc1413,12,65
2014ncre_qm39,frc449,frc4767,frc4291,frc122,frc3737,frc4996,40,26
2014ncre_qm4,frc3402,frc3331,frc449,frc2642,frc4245,frc2059,80,102
2014ncre_qm40,frc4561,frc3763,frc3459,frc4795,frc339,frc3493,88,21
2014ncre_qm41,frc3680,frc3971,frc836,frc375,frc3506,frc3822,71,72
2014ncre_qm42,frc5190,frc1287,frc4829,frc3336,frc3661,frc435,66,35
2014ncre_qm43,frc4816,frc4935,frc4288,frc2640,frc3331,frc900,83,128
2014ncre_qm44,frc4245,frc3215,frc4481,frc2641,frc4290,frc1111,27,89
2014ncre_qm45,frc3402,frc587,frc2642,frc2528,frc3701,frc3845,101,70
2014ncre_qm46,frc3680,frc3796,frc3822,frc4828,frc4767,frc339,31,35
2014ncre_qm47,frc4829,frc5160,frc3506,frc3493,frc1287,frc122,98,10
2014ncre_qm48,frc2890,frc4291,frc3811,frc836,frc4816,frc3229,27,86
2014ncre_qm49,frc3971,frc2483,frc3459,frc1111,frc3215,frc2059,17,119
2014ncre_qm5,frc4767,frc3336,frc4795,frc1533,frc3661,frc4935,7,28
2014ncre_qm50,frc2641,frc3701,frc4534,frc3737,frc900,frc4795,67,79
2014ncre_qm51,frc449,frc4481,frc587,frc5190,frc3845,frc4288,48,18
2014ncre_qm52,frc4290,frc1413,frc2640,frc3763,frc4823,frc3402,73,17
2014ncre_qm53,frc2642,frc3661,frc4561,frc3336,frc4996,frc375,71,61
2014ncre_qm54,frc4245,frc1533,frc435,frc4935,frc2528,frc3331,61,118
2014ncre_qm55,frc836,frc4534,frc4767,frc3215,frc4828,frc3229,86,55
2014ncre_qm56,frc3845,frc4829,frc122,frc4795,frc2483,frc2059,22,39
2014ncre_qm57,frc4816,frc5160,frc1111,frc4290,frc5190,frc3506,65,30
2014ncre_qm58,frc3661,frc2890,frc900,frc3971,frc3763,frc3796,84,34
2014ncre_qm59,frc435,frc2528,frc4823,frc4288,frc3822,frc4996,17,77
2014ncre_qm6,frc3811,frc2640,frc3822,frc4290,frc3215,frc3459,41,22
2014ncre_qm60,frc1533,frc587,frc1413,frc3459,frc375,frc4291,88,38
2014ncre_qm61,frc3701,frc2640,frc339,frc449,frc1287,frc4245,43,13
2014ncre_qm62,frc3331,frc2641,frc4561,frc3336,frc3680,frc3402,41,16
2014ncre_qm63,frc3493,frc4935,frc3811,frc3737,frc2642,frc4481,12,138
2014ncre_qm64,frc4288,frc4823,frc3215,frc5190,frc2890,frc4795,38,67
2014ncre_qm65,frc836,frc3506,frc2059,frc4767,frc435,frc900,170,78
2014ncre_qm66,frc3971,frc2528,frc4829,frc4828,frc4816,frc449,59,96
2014ncre_qm67,frc4534,frc3459,frc4996,frc3402,frc2641,frc4245,22,118
2014ncre_qm68,frc1533,frc1111,frc3822,frc3493,frc4561,frc1413,160,58
2014ncre_qm69,frc3229,frc3331,frc3763,frc2483,frc4481,frc1287,43,11
2014ncre_qm7,frc435,frc4291,frc3506,frc2483,frc4534,frc339,57,137
2014ncre_qm70,frc3701,frc4935,frc4290,frc3680,frc3845,frc5160,49,22
2014ncre_qm71,frc3737,frc2640,frc375,frc4291,frc3796,frc3336,126,116
2014ncre_qm72,frc122,frc3661,frc587,frc2642,frc339,frc3811,21,105
2014ncre_qm73,frc435,frc449,frc4561,frc2641,frc4767,frc3971,69,99
2014ncre_qm74,frc4828,frc900,frc3493,frc4245,frc1413,frc5190,140,107
2014ncre_qm75,frc3845,frc4534,frc1533,frc3822,frc4823,frc4816,60,35
2014ncre_qm76,frc4935,frc3402,frc3737,frc3796,frc3229,frc1111,13,49
2014ncre_qm77,frc3215,frc375,frc3331,frc3763,frc3506,frc122,45,80
2014ncre_qm78,frc3336,frc339,frc2059,frc2890,frc3701,frc4481,80,57
2014ncre_qm79,frc3811,frc4290,frc587,frc4795,frc1287,frc4996,117,16
2014ncre_qm8,frc5190,frc900,frc2528,frc4561,frc3680,frc3229,63,31
2014ncre_qm80,frc5160,frc2483,frc836,frc3661,frc2528,frc2640,102,72
2014ncre_qm81,frc3680,frc4288,frc3459,frc2642,frc4291,frc4829,101,56
2014ncre_qm82,frc4828,frc3796,frc5190,frc3331,frc3506,frc3737,81,20
2014ncre_qm83,frc3402,frc3701,frc3971,frc1533,frc122,frc339,90,64
2014ncre_qm84,frc3493,frc449,frc3763,frc4935,frc3336,frc4534,108,68
2014ncre_qm85,frc3215,frc4996,frc1413,frc4481,frc435,frc4816,47,108
2014ncre_qm86,frc900,frc5160,frc2642,frc3822,frc3459,frc4767,149,11
2014ncre_qm87,frc2483,frc375,frc3229,frc4288,frc4795,frc4290,163,59
2014ncre_qm88,frc2890,frc4245,frc2640,frc3811,frc4829,frc4561,183,28
2014ncre_qm89,frc2641,frc3845,frc587,frc836,frc3661,frc1111,72,166
2014ncre_qm9,frc3493,frc4996,frc3971,frc3796,frc836,frc3845,12,116
2014ncre_qm90,frc4823,frc2059,frc1287,frc4291,frc3680,frc2528,97,77
2014ncre_qm91,frc3459,frc435,frc3701,frc4816,frc3331,frc3796,103,27
2014ncre_qm92,frc1413,frc5160,frc4795,frc2642,frc3971,frc449,119,64
2014ncre_qm93,frc4481,frc3506,frc3811,frc4829,frc3402,frc1533,143,33
2014ncre_qm94,frc4561,frc4767,frc2640,frc4534,frc587,frc5190,62,88
2014ncre_qm95,frc339,frc4288,frc1287,frc3215,frc3737,frc836,96,105
2014ncre_qm96,frc4290,frc375,frc3661,frc3493,frc2059,frc2528,54,98
2014ncre_qm97,frc4935,frc2483,frc4291,frc2890,frc3822,frc2641,18,81
2014ncre_qm98,frc4823,frc4828,frc3336,frc122,frc1111,frc900,101,150
2014ncre_qm99,frc3680,frc4996,frc3763,frc4245,frc3845,frc3229,93,58
2014ncre_sf1m1,frc836,frc1111,frc3971,frc1533,frc3506,frc587,103,69
2014ncre_sf1m2,frc836,frc3971,frc1111,frc3506,frc587,frc1533,118,53
2014ncre_sf2m1,frc4288,frc900,frc1287,frc2059,frc4935,frc2642,27,67
2014ncre_sf2m2,frc1287,frc900,frc4288,frc2059,frc2642,frc4935,189,71
2014ncre_sf2m3,frc4288,frc900,frc1287,frc2642,frc2059,frc4935,94,77
